MainCluster,SubCluster,x,y
0,1,29.26520628,-417.4426358
0,2,-32.00308179,-332.96902
0,3,13.35338562,-333.5069845
0,4,55.91578139,-369.3985624
0,5,-12.19040932,-391.5939757
1,6,-150.5010515,-607.7399352
1,7,-67.37665747,-574.1355894
1,8,-123.1117316,-664.8599586
1,9,-93.25040067,-621.6999254
1,10,-112.3392184,-579.3797747
2,11,3.998017354,-459.3212995
2,12,-52.68668756,-531.3905447
2,13,-84.31958229,-467.8954263
2,14,-25.07677386,-497.6569618
2,15,-47.1166134,-437.2028384
3,16,-6.859551862,-95.92983691
3,17,26.73252175,-157.1466105
3,18,58.84522029,-109.2334129
3,19,14.59333917,-55.88501437
3,20,-31.16458977,-136.3986753
4,21,35.62383989,-291.6545125
4,22,85.10982639,-324.933837
4,23,50.06662075,-240.1601651
4,24,122.7987458,-279.4388501
4,25,84.31454901,-265.7700497
5,26,67.73351416,-189.6807586
5,27,167.9792192,-183.4597569
5,28,148.7769785,-233.2529168
5,29,110.6919912,-149.2701225
5,30,109.3624538,-208.1500212
6,31,-125.1713001,-477.4938723
6,32,-196.584884,-518.7028977
6,33,-114.7537014,-530.8846268
6,34,-157.700782,-500.8545905
6,35,-167.4557963,-556.8807799
7,36,-55.08715004,-179.4434714
7,37,-55.82902215,-282.0081109
7,38,3.180592696,-206.8665584
7,39,-76.52684175,-227.1520845
7,40,-13.52608693,-256.6249719
